"            <div class=""geolocation"" data-lat=""-37.818486502251"" data-lng=""145.17626613378""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.035801124052"" data-lng=""145.26712328196""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hallam Road at the intersection of Hallam Road and Fordholm Road, Hampton Park","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.991053640227"" data-lng=""145.14422772932""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Springvale Road at the intersection of Springvale Road and Lower Dandenong Road, Braeside","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.812719880178"" data-lng=""144.88352447748""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Williamstown Road at the intersection of Williamstown Road and Somerville Road, Yarraville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.879202017336"" data-lng=""145.01640915871""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.927474809348"" data-lng=""145.11004239321""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Centre Road at the intersection of Centre Road and Springs Road, Clayton South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.860366009068"" data-lng=""145.01067727804""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dandenong Road at the intersection of Dandenong Road and Orrong Road, Caulfield North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.787195343028"" data-lng=""145.12484818697""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Williamsons Road at the intersection of Williamsons Road and Doncaster Road, Doncaster","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.809481983473"" data-lng=""144.99152630567""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hoddle Street at the intersection of Hoddle Street and Victoria Street, Abbotsford","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.819404"" data-lng=""144.874239""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Francis Street and Wembley Avenue, Yarraville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.819301"" data-lng=""144.873922""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Francis Street and Wembley Avenue, Yarraville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-36.755703810361"" data-lng=""144.26377594471""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Loddon Valley Highway at the intersection of Loddon Valley Highway and Calder Highway, Ironbark","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.996561"" data-lng=""145.312807""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.099595328354"" data-lng=""145.17289459705""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hall Road at the intersection of Hall Road and Dandenong-Frankston Road, Carrum Downs","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.820367999638"" data-lng=""145.09836941957""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Union Road at the intersection of Union Road and Mont Albert Road, Surrey Hills","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.810413317131"" data-lng=""145.06086945534""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Whitehorse Road at the intersection of Whitehorse Road and Burke Road, Balwyn","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.816999068347"" data-lng=""145.11522442102""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Whitehorse Road at the intersection of Whitehorse Road and Elgar Road, Box Hill","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.717054"" data-lng=""145.042777""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Plenty Road and Dunne Street, Kingsbury","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.716897"" data-lng=""145.043196""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Plenty Road and Kingsbury Drive, Bundoora","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.862744066593"" data-lng=""145.07447361946""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    High Street at the intersection of High Street and Summerhill Road, Glen Iris","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.848868511768"" data-lng=""145.22711545229""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Mountain Highway at the intersection of Mountain Highway and Wantirna Road, Wantirna","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.867976370015"" data-lng=""145.11187434196""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    High Street Road at the intersection of High Street Road and Huntingdale Road, Mount Waverley","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.798102659457"" data-lng=""144.97476249933""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nicholson Street at the intersection of Nicholson Street and Elgin Street, Carlton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.927818609488"" data-lng=""145.23309141397""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Stud Road at the intersection of Stud Road and Wellington Road, Rowville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.772738442543"" data-lng=""144.92674291134""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maribyrnong Road at the intersection of Maribyrnong Road and Mt Alexander Road, Moonee Ponds","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.847734336548"" data-lng=""145.22740513086""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Boronia Road at the intersection of Boronia Road and Wantirna Road, Wantirna","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.702495524292"" data-lng=""145.08401155472""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Grimshaw Street at the intersection of Grimshaw Street and Macorna Street, Watsonia North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.008655815251"" data-lng=""145.27845561504""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Fitzgerald Road, Hallam","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.819612122301"" data-lng=""144.96025711298""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Flinders Street at the intersection of Flinders Street and William Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.778891901087"" data-lng=""144.84723955393""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Duke Street at the intersection of Duke Street and Ballarat Road, Braybrook","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.793711100354"" data-lng=""144.98502731323""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Alexandra Parade at the intersection of Alexandra Parade and Smith Street, Fitzroy North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.075386"" data-lng=""144.369064""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Princes Highway and Station Street, Corio","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.182323"" data-lng=""144.344643""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Settlement Road and Torquay Road, Belmont","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.799814067515"" data-lng=""145.29007226229""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Mt Dandenong Road at the intersection of Mt Dandenong Road and Dorset Road, Croydon","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.834568"" data-lng=""145.172888""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Springvale Road and Canterbury Road, Forest Hill","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.735994"" data-lng=""144.983032""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Murray Road and Elizabeth Street, Coburg","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.902331787208"" data-lng=""145.02591624856""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Thomas Street at the intersection of Thomas Street and North Road, Brighton East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.965452354924"" data-lng=""145.05581617355""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Park Road at the intersection of Park Road and Charman Road, Cheltenham","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.79885822716"" data-lng=""145.14210015535""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Middleborough Road at the intersection of Middleborough Road and Eastern Freeway, Box Hill North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.79501"" data-lng=""144.934964""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Macauley Road at the intersection of Macauley Road and Stubbs Street, Kensington","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.957280009686"" data-lng=""145.05188405514""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Karen Street, Highett","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.892902525944"" data-lng=""145.08799731731""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dandenong Road at the intersection of Dandenong Road and Warrigal Road, Malvern East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.831186738108"" data-lng=""144.84807506204""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Blackshaws Road at the intersection of Blackshaws Road and Millers Road, Altona North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.105031326448"" data-lng=""147.06806302071""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    York Street at the intersection of York Street and MacArthur Street, Sale","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.768323113227"" data-lng=""144.99160677194""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    St Georges Road at the intersection of St Georges Road and Arthurton Road, Northcote","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.854998686289"" data-lng=""145.16958206892""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Burwood Highway at the intersection of Burwood Highway and Springvale Road, Vermont South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.798700332164"" data-lng=""144.88812983036""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Gordon Street at the intersection of Gordon Street and Barkly Street, Footscray","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.971166852188"" data-lng=""145.22338181734""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Stud Road at the intersection of Stud Road and Heatherton Road, Dandenong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.911159909455"" data-lng=""145.12213245034""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dandenong Road at the intersection of Dandenong Road and Clayton Road, Oakleigh East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.913625"" data-lng=""145.121705""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of North Road and Clayton Road, Oakleigh East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.814747"" data-lng=""145.036965""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Barkers Road and Glenferrie Road, Hawthorn","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.742794"" data-lng=""145.072654""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Rosanna Road and Banyule Road, Southbound, Rosanna","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.742727"" data-lng=""145.072444""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Rosanna Road and Banyule Road, Northbound, Rosanna","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.833246917301"" data-lng=""144.96774852276""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Kings Way at the intersection of Kings Way and Park Street, South Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.141498"" data-lng=""145.172941""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.141341"" data-lng=""145.172879""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.216401"" data-lng=""145.129323""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.216577"" data-lng=""145.129346""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.216785"" data-lng=""145.129019""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.216572"" data-lng=""145.128987""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.141188"" data-lng=""145.173233""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.141394"" data-lng=""145.173254""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.263141"" data-lng=""145.106524""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.262989"" data-lng=""145.106703""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.251999"" data-lng=""145.118008""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.252096"" data-lng=""145.117899""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.817674985759"" data-lng=""145.15607714653""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Whitehorse Road at the intersection of Whitehorse Road and Surrey Road, Blackburn","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.876144"" data-lng=""144.992417""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Brighton Road and Glen Eira Road, Ripponlea","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.925378122622"" data-lng=""145.21295070648""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink Northbound, Wellington Road Bridge, Rowville","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.925572772141"" data-lng=""145.2132833004""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink Southbound, Wellington Road Bridge, Rowville","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.742657039881"" data-lng=""145.0225353241""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Albert Street at the intersection of Albert Street and Gower Street, Preston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.00121852403"" data-lng=""145.19173979759""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink Southbound, Dandenong Bypass Bridge, Keysborough","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.84722919407"" data-lng=""145.06859153509""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glen Iris Road at the intersection of Glen Iris Road and Toorak Road, Camberwell","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.811313913023"" data-lng=""144.86989617348""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Somerville Road at the intersection of Somerville Road and Geelong Road, Yarraville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.001159343922"" data-lng=""145.19129991531""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink Northbound, Dandenong Bypass Bridge, Keysborough","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.804184071409"" data-lng=""144.882876724""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Geelong Street at the intersection of Geelong Street and Geelong Road, Kingsville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.110911"" data-lng=""144.343338""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Thompson Road and Separation Street, Bell Park","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.828195403811"" data-lng=""145.05744159222""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Prospect Hill Road at the intersection of Prospect Hill Road and Burke Road, Camberwell","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.96448597414"" data-lng=""145.1686835289""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Heatherton Road at the intersection of Heatherton Road and Corrigan Road, Noble Park","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.838442126583"" data-lng=""144.98645156622""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Punt Road at the intersection of Punt Road and Toorak Road, South Yarra","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.981864083293"" data-lng=""144.53332185745""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Freeway, Point Wilson Road Bridge, Melbourne Bound, Little River","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.812352233477"" data-lng=""144.80814099312""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Southbound Boundary Road, North Side Gantry, Sunshine West","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-36.11026441392"" data-lng=""146.89386963844""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Lincoln Causeway at the intersection of Lincoln Causeway and Hume Highway ramp, Wodonga","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.003476843531"" data-lng=""145.25139212608""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and South Gippsland Freeway, Eumemmerring","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.78976"" data-lng=""144.958978""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Royal Parade at the intersection of Royal Parade and Cemetery Road West, Carlton North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.845814353113"" data-lng=""144.98495489359""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Punt Road at the intersection of Punt Road and Commercial Road, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.916079"" data-lng=""145.017901""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Nepean Highway and Centre Road, Brighton East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
